         16709981 function calls (15665525 primitive calls) in 593.557 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    43200    0.101    0.000    1.768    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/modules/normalization.py:201(forward)
    77600    0.110    0.000    1.752    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/storage.py:140(__deepcopy__)
    12800    1.694    0.000    1.694    0.000 {built-in method torch.multinomial}
    43200    0.118    0.000    1.634    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/functional.py:2561(layer_norm)
    77600    0.365    0.000    1.626    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/storage.py:156(clone)
     3200    1.488    0.000    1.496    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/multiprocessing/util.py:186(__init__)
    43200    1.457    0.000    1.457    0.000 {built-in method torch.layer_norm}
    12800    0.259    0.000    1.224    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/distributions/distribution.py:273(_validate_sample)
    77600    1.221    0.000    1.221    0.000 {method 'copy_' of 'torch._C.StorageBase' objects}
    12800    0.744    0.000    1.221    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/distributions/constraints.py:440(check)
        1    0.000    0.000    1.116    1.116 /root/project/Soter/program_tuner.py:210(__init__)
    62400    0.100    0.000    1.005    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/modules/dropout.py:58(forward)
   616108    0.985    0.000    0.985    0.000 {built-in method numpy.arange}
    62400    0.246    0.000    0.906    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/functional.py:1279(dropout)
      101    0.002    0.000    0.863    0.009 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_compile.py:21(inner)
     3210    0.362    0.000    0.857    0.000 /root/project/Soter/cost_model.py:453(get_map_config)
    12800    0.787    0.000    0.787    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/distributions/constraints.py:274(check)
    47600    0.734    0.000    0.734    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
    845/5    0.003    0.000    0.732    0.146 <frozen importlib._bootstrap>:986(_find_and_load)
    842/5    0.003    0.000    0.731    0.146 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
        1    0.000    0.000    0.731    0.731 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/optim/adam.py:31(__init__)
        1    0.000    0.000    0.731    0.731 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/optim/optimizer.py:339(__init__)
    820/4    0.003    0.000    0.731    0.183 <frozen importlib._bootstrap>:650(_load_unlocked)
    818/4    0.002    0.000    0.731    0.183 <frozen importlib._bootstrap_external>:837(exec_module)
   1046/4    0.000    0.000    0.730    0.182 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   1488/4    0.044    0.000    0.730    0.182 {built-in method builtins.exec}
        1    0.000    0.000    0.730    0.730 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_dynamo/__init__.py:1(<module>)
   884/19    0.002    0.000    0.728    0.038 <frozen importlib._bootstrap>:1017(_handle_fromlist)
    225/1    0.000    0.000    0.728    0.728 {built-in method builtins.__import__}
        1    0.000    0.000    0.726    0.726 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_dynamo/convert_frame.py:2(<module>)
   107200    0.721    0.000    0.721    0.000 {method 'float' of 'torch._C.TensorBase' objects}
    87200    0.667    0.000    0.667    0.000 {method 'new_zeros' of 'torch._C.TensorBase' objects}
    62400    0.574    0.000    0.574    0.000 {built-in method torch.dropout}
    75600    0.573    0.000    0.573    0.000 {built-in method torch.clamp}
