         16709981 function calls (15665525 primitive calls) in 593.557 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/core/containers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_version_control_details.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/setuptools/_vendor/jaraco/text/__init__.py:258(WordSet)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_exception.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_logical_location.py:4(<module>)
       10    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/pathlib.py:321(_resolve)
      235    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      268    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/mpmath/libmp/libmpf.py:322(<genexpr>)
      864    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/sre_parse.py:286(tell)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_graph_traversal.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/symbolic_opset8.py:2(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/sets/ordinals.py:1(<module>)
      500    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/multiprocessing/synchronize.py:90(_make_methods)
       31    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/serializer.py:27(open)
        5    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/pandas/core/generic.py:4136(_slice)
     3200    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       94    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/core/sympify.py:98(sympify)
      613    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/scanner.py:325(unwind_indent)
      253    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/constructor.py:402(construct_yaml_str)
      335    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/constructor.py:173(construct_scalar)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/plotting/backends/textbackend/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/functions/elementary/piecewise.py:1(<module>)
      902    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/sre_parse.py:111(__init__)
        3    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/core/decorators.py:111(sympify_method_args)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_translation_metadata.py:4(<module>)
        6    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/printing/printer.py:356(__init__)
       20    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/selectors.py:351(register)
      625    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/inspect.py:513(_is_wrapper)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/functions/special/spherical_harmonics.py:1(<module>)
        5    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/parser.py:139(parse_implicit_document_start)
     1716    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/enum.py:631(__new__)
      100    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/utils/_foreach_utils.py:12(_get_fused_kernels_supported_devices)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/importlib_metadata/__init__.py:131(EntryPoint)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/io_adapter.py:2(<module>)
        3    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/cuda/__init__.py:455(get_device_properties)
     1797    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/polys/polyerrors.py:1(<module>)
       13    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/modules/normalization.py:195(reset_parameters)
       66    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/polys/agca/modules.py:1(<module>)
       47    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/re.py:198(search)
       10    0.000    0.000    0.000    0.000 {pandas._libs.lib.maybe_convert_objects}
       57    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/constructor.py:124(construct_sequence)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_rectangle.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/setuptools/_distutils/__init__.py:1(<module>)
      202    0.000    0.000    0.000    0.000 {built-in method torch._C._dynamo.eval_frame.set_eval_frame}
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/polys/matrices/linsolve.py:29(<module>)
      471    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/emitter.py:426(check_empty_mapping)
        5    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/pandas/io/formats/csvs.py:266(_save_header)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_dynamo/variables/dicts.py:3(<module>)
      170    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_run_automation_details.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/onnxruntime.py:646(OrtBackendOptions)
        4    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_dynamo/symbolic_convert.py:632(<dictcomp>)
       54    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/core/decorators.py:35(deco)
       56    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
      162    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/inspect.py:1838(_signature_is_builtin)
       95    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
     1526    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/mpmath/libmp/gammazeta.py:1(<module>)
      128    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/typing.py:830(<genexpr>)
      106    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/linecache.py:53(checkcache)
       66    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/enum.py:938(__and__)
      179    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/re.py:203(sub)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/plotting/backends/matplotlibbackend/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_edge_traversal.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/assumptions/ask.py:21(AssumptionKeys)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_physical_location.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/utils/_config_module.py:2(<module>)
       89    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:67(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/assumptions/relation/binrel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/triton/compiler/code_generator.py:212(CodeGenerator)
     4001    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
      203    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_stack_frame.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/registration.py:2(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_node.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_numpy/_dtypes.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /root/project/Soter/cost_model.py:123(get_problem_info)
      596    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/registration.py:72(__init__)
        3    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/library.py:87(define)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_numpy/linalg.py:3(<module>)
      223    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
     1228    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/dataclasses.py:595(_is_classvar)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/polys/densebasic.py:1(<module>)
       87    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/inspect.py:654(getfile)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_location_relationship.py:4(<module>)
       31    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/emitter.py:226(expect_document_root)
       21    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/modules/dropout.py:13(__init__)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_edge.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/polys/galoistools.py:1(<module>)
       10    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/contextlib.py:482(__exit__)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_sarif_log.py:4(<module>)
      347    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/printing/pretty/pretty_symbology.py:10(U)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_reporting_configuration.py:4(<module>)
       80    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/parameter.py:34(__new__)
       54    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/core/decorators.py:41(__sympifyit)
        6    0.000    0.000    0.000    0.000 {built-in method _ctypes.dlopen}
      100    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/autograd/__init__.py:173(_tensor_or_tensors_to_tuple)
      845    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       31    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/emitter.py:38(__init__)
       57    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/constructor.py:129(<listcomp>)
      761    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/typing_extensions.py:159(_should_collect_from_parameters)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_reporting_descriptor_relationship.py:4(<module>)
        2    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/cuda/__init__.py:438(get_device_capability)
       56    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/utilities/decorator.py:227(memoize_property)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_dynamo/guards.py:1967(PyExprCSEPass)
       89    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/multipledispatch/utils.py:61(reverse_dict)
      159    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/sre_parse.py:432(_uniq)
      267    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/mpmath/libmp/libmpf.py:291(from_man_exp)
       20    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/selectors.py:234(register)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_prims/executor.py:2(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/polys/domains/gmpyfinitefield.py:1(<module>)
      128    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/triton/runtime/jit.py:278(is_constexpr)
       41    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/triton/runtime/jit.py:741(<listcomp>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/core/add.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_tool_component_reference.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/argparse.py:1774(parse_known_args)
     1203    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/events.py:5(__init__)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/setuptools/_distutils/compat/__init__.py:1(<module>)
        5    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/loader.py:33(__init__)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_external_property_file_reference.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_dynamo/variables/lazy.py:2(<module>)
      759    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/dataclasses.py:468(_init_param)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/matrices/expressions/permutation.py:1(<module>)
        5    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/pandas/io/formats/csvs.py:222(encoded_labels)
       13    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       25    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/pandas/_config/config.py:260(__call__)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/core/parameters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_special_locations.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/matrices/expressions/hadamard.py:1(<module>)
       15    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       41    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/core/sorting.py:179(_nodes)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/polys/numberfields/galoisgroups.py:1(<module>)
      361    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/dataclasses.py:351(<listcomp>)
     2508    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/inspect.py:2539(name)
       38    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_numpy/_ufuncs.py:67(deco_binary_ufunc)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_multiformat_message_string.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/polys/compatibility.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/setuptools/_distutils/dir_util.py:1(<module>)
        5    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/pandas/io/common.py:589(check_parent_directory)
      822    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:999(__init__)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/external/importtools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/setuptools/monkey.py:1(<module>)
       62    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/emitter.py:178(expect_document_start)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/argparse.py:1809(_parse_known_args)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/mpmath/libmp/gammazeta.py:1372(<listcomp>)
      804    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/xpu/random.py:98(manual_seed_all)
     2842    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/inspect.py:2551(kind)
       10    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/core/symbol.py:640(symbols)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/xpu/__init__.py:77(_lazy_call)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/_beartype.py:2(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_fix.py:4(<module>)
       16    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/enum.py:200(<setcomp>)
       37    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/core/decorators.py:202(make_wrapped)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/setuptools/_distutils/errors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/pandas/io/common.py:1172(_get_binary_io_classes)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/utils/_config_module.py:112(ConfigModule)
        2    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/__init__.py:2168(registerOp)
     1147    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       80    0.000    0.000    0.000    0.000 {built-in method _make_subclass}
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/ntheory/generate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_internal/onnxruntime.py:711(OrtBackend)
       20    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/selectors.py:365(unregister)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/matrices/expressions/matadd.py:1(<module>)
      453    0.000    0.000    0.000    0.000 {method '_release_save' of '_thread.RLock' objects}
      469    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/dataclasses.py:281(__set_name__)
     1228    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/dataclasses.py:603(_is_initvar)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_dynamo/trace_rules.py:2935(FunctionIdSet)
      100    0.000    0.000    0.000    0.000 {built-in method torch._C._are_functorch_transforms_active}
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_dynamo/output_graph.py:227(OutputGraph)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/pandas/compat/_optional.py:91(import_optional_dependency)
       25    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/pandas/_config/config.py:134(_get_option)
      175    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/utilities/misc.py:501(as_int)
      129    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/inspect.py:1850(_signature_is_functionlike)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/simplify/gammasimp.py:1(<module>)
       80    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/constructor.py:237(construct_yaml_int)
        3    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/posixpath.py:387(realpath)
       80    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/modules/module.py:782(compute_should_use_set_data)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_dynamo/variables/lazy.py:137(_populate)
       10    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/_deprecation.py:21(decorator)
        1    0.000    0.000    0.000    0.000 /root/project/Soter/transformer/Models.py:66(<listcomp>)
        8    0.000    0.000    0.000    0.000 /root/project/Soter/transformer/Modules.py:11(__init__)
       16    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/pathlib.py:1193(stat)
       30    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/pathlib.py:451(readlink)
        4    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_dynamo/symbolic_convert.py:636(<listcomp>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/solvers/ode/lie_group.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/onnx/symbolic_opset12.py:2(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/algebras/quaternion.py:1(<module>)
      384    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/pathlib.py:293(splitroot)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/mpmath/libmp/libintmath.py:127(<listcomp>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/polys/matrices/dense.py:1(<module>)
       16    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/enum.py:143(__prepare__)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/polys/domains/pythonfinitefield.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_dynamo/backends/registry.py:3(<module>)
        3    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       20    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
       10    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:266(_isna_array)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/utilities/decorator.py:1(<module>)
       27    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/core/singleton.py:165(__init__)
        1    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/simplify/radsimp.py:1(<module>)
      551    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/parser.py:114(get_event)
       31    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/serializer.py:36(close)
  195/176    0.000    0.000    0.000    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/typing.py:153(_type_repr)
